"time_id","time_actual","hours_24","hours_12","hour_minutes","day_minutes","minute_seconds","day_time_name","day_night"
149,00:01:49,"00","12","01",109,49,AM,Night
150,00:01:50,"00","12","01",110,50,AM,Night
151,00:01:51,"00","12","01",111,51,AM,Night
152,00:01:52,"00","12","01",112,52,AM,Night
153,00:01:53,"00","12","01",113,53,AM,Night
154,00:01:54,"00","12","01",114,54,AM,Night
155,00:01:55,"00","12","01",115,55,AM,Night
156,00:01:56,"00","12","01",116,56,AM,Night
157,00:01:57,"00","12","01",117,57,AM,Night
158,00:01:58,"00","12","01",118,58,AM,Night
159,00:01:59,"00","12","01",119,59,AM,Night
200,00:02:00,"00","12","02",120,0,AM,Night
201,00:02:01,"00","12","02",121,1,AM,Night
202,00:02:02,"00","12","02",122,2,AM,Night
203,00:02:03,"00","12","02",123,3,AM,Night
204,00:02:04,"00","12","02",124,4,AM,Night
205,00:02:05,"00","12","02",125,5,AM,Night
206,00:02:06,"00","12","02",126,6,AM,Night
207,00:02:07,"00","12","02",127,7,AM,Night
208,00:02:08,"00","12","02",128,8,AM,Night
209,00:02:09,"00","12","02",129,9,AM,Night
210,00:02:10,"00","12","02",130,10,AM,Night
211,00:02:11,"00","12","02",131,11,AM,Night
212,00:02:12,"00","12","02",132,12,AM,Night
213,00:02:13,"00","12","02",133,13,AM,Night
214,00:02:14,"00","12","02",134,14,AM,Night
215,00:02:15,"00","12","02",135,15,AM,Night
216,00:02:16,"00","12","02",136,16,AM,Night
217,00:02:17,"00","12","02",137,17,AM,Night
218,00:02:18,"00","12","02",138,18,AM,Night
219,00:02:19,"00","12","02",139,19,AM,Night
220,00:02:20,"00","12","02",140,20,AM,Night
221,00:02:21,"00","12","02",141,21,AM,Night
222,00:02:22,"00","12","02",142,22,AM,Night
223,00:02:23,"00","12","02",143,23,AM,Night
224,00:02:24,"00","12","02",144,24,AM,Night
225,00:02:25,"00","12","02",145,25,AM,Night
226,00:02:26,"00","12","02",146,26,AM,Night
227,00:02:27,"00","12","02",147,27,AM,Night
228,00:02:28,"00","12","02",148,28,AM,Night
229,00:02:29,"00","12","02",149,29,AM,Night
230,00:02:30,"00","12","02",150,30,AM,Night
231,00:02:31,"00","12","02",151,31,AM,Night
232,00:02:32,"00","12","02",152,32,AM,Night
233,00:02:33,"00","12","02",153,33,AM,Night
234,00:02:34,"00","12","02",154,34,AM,Night
235,00:02:35,"00","12","02",155,35,AM,Night
236,00:02:36,"00","12","02",156,36,AM,Night
237,00:02:37,"00","12","02",157,37,AM,Night
238,00:02:38,"00","12","02",158,38,AM,Night
239,00:02:39,"00","12","02",159,39,AM,Night
240,00:02:40,"00","12","02",160,40,AM,Night
241,00:02:41,"00","12","02",161,41,AM,Night
242,00:02:42,"00","12","02",162,42,AM,Night
243,00:02:43,"00","12","02",163,43,AM,Night
244,00:02:44,"00","12","02",164,44,AM,Night
245,00:02:45,"00","12","02",165,45,AM,Night
246,00:02:46,"00","12","02",166,46,AM,Night
247,00:02:47,"00","12","02",167,47,AM,Night
248,00:02:48,"00","12","02",168,48,AM,Night
249,00:02:49,"00","12","02",169,49,AM,Night
250,00:02:50,"00","12","02",170,50,AM,Night
251,00:02:51,"00","12","02",171,51,AM,Night
252,00:02:52,"00","12","02",172,52,AM,Night
253,00:02:53,"00","12","02",173,53,AM,Night
254,00:02:54,"00","12","02",174,54,AM,Night
255,00:02:55,"00","12","02",175,55,AM,Night
256,00:02:56,"00","12","02",176,56,AM,Night
257,00:02:57,"00","12","02",177,57,AM,Night
258,00:02:58,"00","12","02",178,58,AM,Night
259,00:02:59,"00","12","02",179,59,AM,Night
300,00:03:00,"00","12","03",180,0,AM,Night
301,00:03:01,"00","12","03",181,1,AM,Night
302,00:03:02,"00","12","03",182,2,AM,Night
303,00:03:03,"00","12","03",183,3,AM,Night
304,00:03:04,"00","12","03",184,4,AM,Night
305,00:03:05,"00","12","03",185,5,AM,Night
306,00:03:06,"00","12","03",186,6,AM,Night
307,00:03:07,"00","12","03",187,7,AM,Night
308,00:03:08,"00","12","03",188,8,AM,Night
309,00:03:09,"00","12","03",189,9,AM,Night
310,00:03:10,"00","12","03",190,10,AM,Night
311,00:03:11,"00","12","03",191,11,AM,Night
312,00:03:12,"00","12","03",192,12,AM,Night
313,00:03:13,"00","12","03",193,13,AM,Night
314,00:03:14,"00","12","03",194,14,AM,Night
315,00:03:15,"00","12","03",195,15,AM,Night
316,00:03:16,"00","12","03",196,16,AM,Night
317,00:03:17,"00","12","03",197,17,AM,Night
318,00:03:18,"00","12","03",198,18,AM,Night
319,00:03:19,"00","12","03",199,19,AM,Night
320,00:03:20,"00","12","03",200,20,AM,Night
321,00:03:21,"00","12","03",201,21,AM,Night
322,00:03:22,"00","12","03",202,22,AM,Night
323,00:03:23,"00","12","03",203,23,AM,Night
324,00:03:24,"00","12","03",204,24,AM,Night
325,00:03:25,"00","12","03",205,25,AM,Night
326,00:03:26,"00","12","03",206,26,AM,Night
327,00:03:27,"00","12","03",207,27,AM,Night
328,00:03:28,"00","12","03",208,28,AM,Night
329,00:03:29,"00","12","03",209,29,AM,Night
330,00:03:30,"00","12","03",210,30,AM,Night
331,00:03:31,"00","12","03",211,31,AM,Night
332,00:03:32,"00","12","03",212,32,AM,Night
333,00:03:33,"00","12","03",213,33,AM,Night
334,00:03:34,"00","12","03",214,34,AM,Night
335,00:03:35,"00","12","03",215,35,AM,Night
336,00:03:36,"00","12","03",216,36,AM,Night
337,00:03:37,"00","12","03",217,37,AM,Night
338,00:03:38,"00","12","03",218,38,AM,Night
339,00:03:39,"00","12","03",219,39,AM,Night
340,00:03:40,"00","12","03",220,40,AM,Night
341,00:03:41,"00","12","03",221,41,AM,Night
342,00:03:42,"00","12","03",222,42,AM,Night
343,00:03:43,"00","12","03",223,43,AM,Night
344,00:03:44,"00","12","03",224,44,AM,Night
345,00:03:45,"00","12","03",225,45,AM,Night
346,00:03:46,"00","12","03",226,46,AM,Night
347,00:03:47,"00","12","03",227,47,AM,Night
348,00:03:48,"00","12","03",228,48,AM,Night
349,00:03:49,"00","12","03",229,49,AM,Night
